property_type,zip,neighborhood,latitude,longitude
Office,98109,LAKE UNION,47.6214758,-122.34305020000001
Office,98119,MAGNOLIA / QUEEN ANNE,47.62168398,-122.36124209999998
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.56077194,-122.32500458
Distribution Center,98108,GREATER DUWAMISH,47.54865557,-122.3253303
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.5468909,-122.32399620000001
Office,98102,LAKE UNION,47.633493,-122.3263524
Distribution Center,98108,GREATER DUWAMISH,47.53766891,-122.32414080000001
Office,98109,LAKE UNION,47.62973404,-122.32804871
Office,98109,MAGNOLIA / QUEEN ANNE,47.62563138,-122.3428953
Office,98109,MAGNOLIA / QUEEN ANNE,47.62912762,-122.3419415
Office,98103,LAKE UNION,47.6477973,-122.3392645
Office,98125,NORTH,47.7007902,-122.3272232
Office,98115,NORTH,47.70006313,-122.326753
Office,98115,NORTH,47.69917313,-122.32688710000001
Office,98115,NORTH,47.70057856,-122.3249321
Office,98106,DELRIDGE NEIGHBORHOODS,47.56710229,-122.36416399999999
Office,98109,LAKE UNION,47.62278141,-122.33206969999999
Office,98109,LAKE UNION,47.61898067,-122.33644009999999
Retail Store,98107,BALLARD,47.66047823,-122.36763290000002
Office,98109,LAKE UNION,47.62410578,-122.33752620000001
Other,98109,LAKE UNION,47.62346456,-122.3375308
Laboratory,98109,LAKE UNION,47.62262099,-122.3375121
Office,98109,LAKE UNION,47.62262623,-122.338058
Office,98109,LAKE UNION,47.62385941,-122.33546448
Non-Refrigerated Warehouse,98109,LAKE UNION,47.62531851,-122.3334149
Office,98109,LAKE UNION,47.62726846,-122.33157620000001
Office,98109,LAKE UNION,47.62622137,-122.33143940000001
Other,98109,LAKE UNION,47.6286355,-122.3306365
Mixed Use Property,98109,LAKE UNION,47.62137417,-122.3388409
Office,98109,LAKE UNION,47.62145233,-122.33753204
Office,98109,LAKE UNION,47.62145615,-122.33805847
Mixed Use Property,98109,LAKE UNION,47.62026229,-122.33680349999999
Laboratory,98109,LAKE UNION,47.62452073,-122.33990438
Mixed Use Property,98109,LAKE UNION,47.623959,-122.3405267
Office,98119,MAGNOLIA / QUEEN ANNE,47.62122551,-122.359728
Office,98119,MAGNOLIA / QUEEN ANNE,47.62302024,-122.35841040000001
Office,98119,MAGNOLIA / QUEEN ANNE,47.622376,-122.35840400000001
Office,98109,MAGNOLIA / QUEEN ANNE,47.62002316,-122.3571354
Office,98119,MAGNOLIA / QUEEN ANNE,47.62011334,-122.3576936
